"tier","historical_url","product_intent","location","parent_money_hub","clicks","impressions","ctr","avg_position","gsc_action","gsc_evidence_class","master_map_decision","current_lifecycle","redirect_collision","gone_collision","duplicate_intent","release_readiness","notes"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-นครพนม/","NOTEBOOK","นครพนม","/รับซื้อโน๊ตบุ๊ค/","12","128","9.38%","7.66","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-นครราชส/","NOTEBOOK","นครราชสีมา (โคราช)","/รับซื้อโน๊ตบุ๊ค/","11","296","3.72%","9.52","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/","NOTEBOOK","ยโสธร","/รับซื้อโน๊ตบุ๊ค/","10","76","13.16%","6.03","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/","NOTEBOOK","อำเภอชุมแพ (ขอนแก่น)","/รับซื้อโน๊ตบุ๊ค/","9","103","8.74%","11.84","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/","NOTEBOOK","ขอนแก่น","/รับซื้อโน๊ตบุ๊ค/","9","506","1.78%","14.47","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/","NOTEBOOK","กาฬสินธุ์","/รับซื้อโน๊ตบุ๊ค/","9","247","3.64%","8.06","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อโน๊ตบุ๊ค-อุดรธาน/","NOTEBOOK","อุดรธานี","/รับซื้อโน๊ตบุ๊ค/","5","86","5.81%","9.09","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/","NOTEBOOK","ร้อยเอ็ด","/รับซื้อโน๊ตบุ๊ค/","6","187","3.21%","7.35","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อโน๊ตบุ๊ค-หนองบัว/","NOTEBOOK","หนองบัวลำภู","/รับซื้อโน๊ตบุ๊ค/","6","61","9.84%","7.18","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อคอม-อุดรธานี/","COMPUTER","อุดรธานี","/รับซื้อคอม/","45","498","9.04%","8.21","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อคอม-ขอนแก่น/","COMPUTER","ขอนแก่น","/รับซื้อคอม/","26","496","5.24%","13.39","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อคอม-สารคาม/","COMPUTER","มหาสารคาม","/รับซื้อคอม/","4","107","3.74%","10.26","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อไอโฟน-มหาสารคาม/","IPHONE","มหาสารคาม","/รับซื้อไอโฟน/","14","346","4.05%","9.56","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อมือถือ-อุบล/","IPHONE","อุบลราชธานี","/รับซื้อไอโฟน/","19","435","4.37%","12.67","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_1_HIGH_EQUITY","/รับซื้อโทรศัพท์มือถือ-จ/","IPHONE","ภูมิภาคอีสาน (Regional)","/รับซื้อไอโฟน/","25","746","3.35%","9.13","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/","IPHONE","ร้อยเอ็ด","/รับซื้อไอโฟน/","5","174","2.87%","10.16","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_2_MODERATE_EQUITY","/รับซื้อโทรศัพท์-มือถือ-ย/","IPHONE","ยโสธร","/รับซื้อไอโฟน/","9","135","6.67%","11.02","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_3_WEAK_BUT_STRATEGIC","/รับซื้อไอแพด-ขอนแก่น-ipad/","IPAD","ขอนแก่น","/รับซื้อไอแพด/","NONE","NONE","NONE","NONE","NONE","NONE","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_3_WEAK_BUT_STRATEGIC","/รับซื้อไอแพด-ยโสธร-ipad/","IPAD","ยโสธร","/รับซื้อไอแพด/","3","24","12.50%","11.67","A_PRESERVE_REWRITE","MEDIUM","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_1_HIGH_EQUITY","/รับซื้อเมืองขอนแก่น/","MACBOOK","ขอนแก่น","/รับซื้อแมคบุ๊ค/","11","133","8.27%","11.54","A_PRESERVE_REWRITE","VERY_HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อmacbook-อุดรธานี/","MACBOOK","อุดรธานี","/รับซื้อแมคบุ๊ค/","4","34","11.76%","10.41","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อกล้องมือสองมุก/","CAMERA","มุกดาหาร","/รับซื้อกล้อง/","5","44","11.36%","10.75","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
"TIER_2_MODERATE_EQUITY","/รับซื้อกล้องอุบล-กล้องcanon-niko/","CAMERA","อุบลราชธานี","/รับซื้อกล้อง/","4","91","4.40%","10.44","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อกล้อง-ยโสธร/","CAMERA","ยโสธร","/รับซื้อกล้อง/","4","50","8.00%","7.54","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_2_MODERATE_EQUITY","/รับซื้อกล้องถ่ายรูป-ศรี/","CAMERA","ศรีสะเกษ","/รับซื้อกล้อง/","4","41","9.76%","6.98","A_PRESERVE_REWRITE","HIGH","Selected directly as canonical V2 public URL in IA","DRAFT","NO","NO","NO","PENDING_REGISTRATION (DRAFT 404)","Defined in new-ia.csv, currently resolving as DRAFT (unregistered in manifest)"
"TIER_3_WEAK_BUT_STRATEGIC","/รับซื้อกล้องมือสองสุร/","CAMERA","สุรินทร์","/รับซื้อกล้อง/","0","58","0.00%","9.31","A_PRESERVE_REWRITE","MEDIUM","Selected directly as canonical V2 public URL in IA","HOLD_NOINDEX","NO","NO","NO","READY_FOR_CONTENT_E2 (HOLD_NOINDEX)","Registered in manifest as HOLD_NOINDEX survivor candidate"
