path,equityClass,equityScore,selectedForFinalIA,iaNode,finalPlanningDisposition,reason
/รับซื้อเมืองศรีสะเกษ/,A_PRESERVE_REWRITE,70,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อเมืองอุดรธานี/,A_PRESERVE_REWRITE,70,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อโทรศัพท์-มือถือ-ย/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_PHONE_YASOTHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโทรศัพท์-อุบล/,A_PRESERVE_REWRITE,60,FALSE,CLUSTER_PARENT,CONSOLIDATE,Consolidated into primary province/category hub to eliminate internal cannibalization
/รับซื้อโทรศัพท์มือถือ-จ/,A_PRESERVE_REWRITE,90,TRUE,LOCAL_PHONE_REGIONAL,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_NOTEBOOK_YASOTHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-notebook/,A_PRESERVE_REWRITE,50,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_NOTEBOOK_KALASIN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_NOTEBOOK_KHONKAEN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-จังหวัด/,A_PRESERVE_REWRITE,70,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อโน๊ตบุ๊ค-ชัยภูมิ/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_NOTEBOOK_CHAIYAPHUM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-นครพนม/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_NOTEBOOK_NAKHON_PHANOM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-นครราชส/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_NOTEBOOK_KORAT,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-บึงกาฬ/,A_PRESERVE_REWRITE,70,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อโน๊ตบุ๊ค-บุรีรัม/,A_PRESERVE_REWRITE,90,TRUE,LOCAL_NOTEBOOK_BURIRAM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_NOTEBOOK_ROIET,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-ศรีสะเ-2/,A_PRESERVE_REWRITE,60,FALSE,CLUSTER_PARENT,CONSOLIDATE,Near-me or duplicate suffix consolidated into primary parent hub
/รับซื้อโน๊ตบุ๊ค-สกลนคร/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_NOTEBOOK_SAKON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-หนองบัว/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_NOTEBOOK_NONGBUA,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_NOTEBOOK_UDON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค-เลย/,A_PRESERVE_REWRITE,90,TRUE,LOCAL_NOTEBOOK_LOEI,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊ค/,B_PRESERVE_IMPROVE,50,TRUE,MONEY_NOTEBOOK,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,A_PRESERVE_REWRITE,100,TRUE,LOCAL_NOTEBOOK_UBON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อไอแพด-ขอนแก่น-ipad/,A_PRESERVE_REWRITE,10,TRUE,LOCAL_IPAD_KHONKAEN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อไอแพด-ยโสธร-ipad/,A_PRESERVE_REWRITE,50,TRUE,LOCAL_IPAD_YASOTHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อไอแพด-อุบล/,A_PRESERVE_REWRITE,60,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_IPHONE_ROIET,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อไอโฟน-ขอนแก่น/,A_PRESERVE_REWRITE,50,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อไอโฟน-จังหวัดอุด/,A_PRESERVE_REWRITE,50,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อไอโฟน-มหาสารคาม/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_IPHONE_SARAKHAM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อไอโฟน-ยโสธร/,A_PRESERVE_REWRITE,40,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
