iaNode,cluster,pageType,role,primaryIntent,chosenV2Path,pathOrigin,historicalSourcePath,urlEquityClass,metricWindow,clicks90d,impressions90d,position90d,businessPriority,oldPathAction,redirectTarget,contentStatus,plannedIndexState,parentDependency,dependencyReady,releaseAfter,confidence
LOCAL_NOTEBOOK_SAKON,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_sakon,/รับซื้อโน๊ตบุ๊ค-สกลนคร/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-สกลนคร/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,12,276,9.07,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_NAKHON_PHANOM,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_nakhonphanom,/รับซื้อโน๊ตบุ๊ค-นครพนม/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-นครพนม/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,12,128,7.66,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_KORAT,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_korat,/รับซื้อโน๊ตบุ๊ค-นครราชส/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-นครราชส/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,11,296,9.52,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_YASOTHON,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_yasothon,/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-notebook-ยโสธร/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,10,76,6.03,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_CHUMPHAE,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_chumphae,/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,HISTORICAL_PRESERVED,/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,9,103,11.84,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_KHONKAEN,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_khonkaen,/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-ขอนแก่น/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,9,506,14.47,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_KALASIN,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_kalasin,/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-กาฬสินธ/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,9,247,8.06,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_UDON,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_udon,/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-อุดรธาน/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,5,86,9.09,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_ROIET,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_roiet,/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-ร้อยเอ็/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,6,187,7.35,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_NOTEBOOK_NONGBUA,notebook,LOCAL_MONEY,LOCAL_MONEY,local_notebook_nongbua,/รับซื้อโน๊ตบุ๊ค-หนองบัว/,HISTORICAL_PRESERVED,/รับซื้อโน๊ตบุ๊ค-หนองบัว/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,6,61,7.18,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,HIGH
LOCAL_COMPUTER_UDON,computer,LOCAL_MONEY,LOCAL_MONEY,local_computer_udon,/รับซื้อคอม-อุดรธานี/,HISTORICAL_PRESERVED,/รับซื้อคอม-อุดรธานี/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,45,498,8.21,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,HIGH
LOCAL_COMPUTER_KHONKAEN,computer,LOCAL_MONEY,LOCAL_MONEY,local_computer_khonkaen,/รับซื้อคอม-ขอนแก่น/,HISTORICAL_PRESERVED,/รับซื้อคอม-ขอนแก่น/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,26,496,13.39,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,HIGH
LOCAL_COMPUTER_SARAKHAM,computer,LOCAL_MONEY,LOCAL_MONEY,local_computer_sarakham,/รับซื้อคอม-สารคาม/,HISTORICAL_PRESERVED,/รับซื้อคอม-สารคาม/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,107,10.26,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_COMPUTER,PENDING,MONEY_COMPUTER,HIGH
LOCAL_IPHONE_SARAKHAM,iphone,LOCAL_MONEY,LOCAL_MONEY,local_iphone_sarakham,/รับซื้อไอโฟน-มหาสารคาม/,HISTORICAL_PRESERVED,/รับซื้อไอโฟน-มหาสารคาม/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,14,346,9.56,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,HIGH
LOCAL_PHONE_UBON,iphone,LOCAL_MONEY,LOCAL_MONEY,local_phone_ubon,/รับซื้อมือถือ-อุบล/,HISTORICAL_PRESERVED,/รับซื้อมือถือ-อุบล/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,19,435,12.67,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,HIGH
LOCAL_PHONE_REGIONAL,iphone,LOCAL_MONEY,LOCAL_MONEY,local_phone_regional,/รับซื้อโทรศัพท์มือถือ-จ/,HISTORICAL_PRESERVED,/รับซื้อโทรศัพท์มือถือ-จ/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,25,746,9.13,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,HIGH
LOCAL_IPHONE_ROIET,iphone,LOCAL_MONEY,LOCAL_MONEY,local_iphone_roiet,/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,HISTORICAL_PRESERVED,/รับซื้อไอโฟน-iphone-ร้อยเอ็ด/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,5,174,10.16,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,HIGH
LOCAL_PHONE_YASOTHON,iphone,LOCAL_MONEY,LOCAL_MONEY,local_phone_yasothon,/รับซื้อโทรศัพท์-มือถือ-ย/,HISTORICAL_PRESERVED,/รับซื้อโทรศัพท์-มือถือ-ย/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,9,135,11.02,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPHONE,PENDING,MONEY_IPHONE,HIGH
LOCAL_IPAD_KHONKAEN,ipad,LOCAL_MONEY,LOCAL_MONEY,local_ipad_khonkaen,/รับซื้อไอแพด-ขอนแก่น-ipad/,HISTORICAL_PRESERVED,/รับซื้อไอแพด-ขอนแก่น-ipad/,A_PRESERVE_REWRITE,NONE,,,,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPAD,PENDING,MONEY_IPAD,HIGH
LOCAL_IPAD_YASOTHON,ipad,LOCAL_MONEY,LOCAL_MONEY,local_ipad_yasothon,/รับซื้อไอแพด-ยโสธร-ipad/,HISTORICAL_PRESERVED,/รับซื้อไอแพด-ยโสธร-ipad/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,3,24,11.67,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_IPAD,PENDING,MONEY_IPAD,HIGH
LOCAL_MACBOOK_KHONKAEN,macbook,LOCAL_MONEY,LOCAL_MONEY,local_macbook_khonkaen,/รับซื้อเมืองขอนแก่น/,HISTORICAL_PRESERVED,/รับซื้อเมืองขอนแก่น/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,11,133,11.54,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_MACBOOK,PENDING,MONEY_MACBOOK,HIGH
LOCAL_MACBOOK_UDON,macbook,LOCAL_MONEY,LOCAL_MONEY,local_macbook_udon,/รับซื้อmacbook-อุดรธานี/,HISTORICAL_PRESERVED,/รับซื้อmacbook-อุดรธานี/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,34,10.41,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_MACBOOK,PENDING,MONEY_MACBOOK,HIGH
LOCAL_CAMERA_MUKDAHAN,camera,LOCAL_MONEY,LOCAL_MONEY,local_camera_mukdahan,/รับซื้อกล้องมือสองมุก/,HISTORICAL_PRESERVED,/รับซื้อกล้องมือสองมุก/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,5,44,10.75,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
LOCAL_CAMERA_UBON,camera,LOCAL_MONEY,LOCAL_MONEY,local_camera_ubon,/รับซื้อกล้องอุบล-กล้องcanon-niko/,HISTORICAL_PRESERVED,/รับซื้อกล้องอุบล-กล้องcanon-niko/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,91,10.44,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
LOCAL_CAMERA_YASOTHON,camera,LOCAL_MONEY,LOCAL_MONEY,local_camera_yasothon,/รับซื้อกล้อง-ยโสธร/,HISTORICAL_PRESERVED,/รับซื้อกล้อง-ยโสธร/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,50,7.54,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
LOCAL_CAMERA_SISAKET,camera,LOCAL_MONEY,LOCAL_MONEY,local_camera_sisaket,/รับซื้อกล้องถ่ายรูป-ศรี/,HISTORICAL_PRESERVED,/รับซื้อกล้องถ่ายรูป-ศรี/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,4,41,6.98,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
LOCAL_CAMERA_SURIN,camera,LOCAL_MONEY,LOCAL_MONEY,local_camera_surin,/รับซื้อกล้องมือสองสุร/,HISTORICAL_PRESERVED,/รับซื้อกล้องมือสองสุร/,A_PRESERVE_REWRITE,90_DAYS_PERFORMANCE_EXPORT,0,58,9.31,HIGH,KEEP_HISTORICAL_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,MONEY_CAMERA,PENDING,MONEY_CAMERA,HIGH
COND_BROKEN_SCREEN,condition,CONDITION_GUIDE,CONDITION_GUIDE,broken_screen_valuation,/สภาพสินค้า/จอแตก/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,HIGH
COND_DEAD_POWER,condition,CONDITION_GUIDE,CONDITION_GUIDE,dead_power_valuation,/สภาพสินค้า/เปิดไม่ติด/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,HIGH
COND_BATTERY_DEGRADED,condition,CONDITION_GUIDE,CONDITION_GUIDE,degraded_battery_valuation,/สภาพสินค้า/แบตเสื่อม/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,HIGH
COND_NO_BOX_ACCESSORY,valuation,VALUATION_GUIDE,VALUATION_GUIDE,missing_box_accessories_valuation,/สภาพสินค้า/ไม่มีอุปกรณ์/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,HIGH
COND_SHOULD_REPAIR,valuation,VALUATION_GUIDE,VALUATION_GUIDE,repair_vs_sell_as_is,/สภาพสินค้า/ควรซ่อมก่อนขายไหม/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_PRICE_CHECK,PENDING,CORE_PRICE_CHECK,HIGH
GUIDE_FACTORY_RESET,guide,HOW_TO,HOW_TO,data_wiping_factory_reset_guide,/คู่มือ/วิธีล้างข้อมูล-factory-reset/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,HIGH
GUIDE_CHECK_SPECS,guide,HOW_TO,HOW_TO,check_device_specifications_guide,/คู่มือ/วิธีตรวจสเปกก่อนขาย/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,HIGH
GUIDE_PHOTO_VALUATION,guide,HOW_TO,HOW_TO,photo_estimation_guide,/คู่มือ/วิธีถ่ายรูปประเมินราคา/,NEW_STRATEGIC_IA,,NEW_STRATEGIC_NODE,NONE,,,,HIGH,NEW_URL,,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOW_TO_SELL,PENDING,CORE_HOW_TO_SELL,HIGH
